TTIcode	HotelName	ChainID	ChainName	a_chain_code	a_chain_name	a_master_chain_code	a_master_chain_name	CityCode	CityName	localeID	LocaleName	LocaleAbbreviation	CountryCode	CountryName	IATA_code	IATA_lookup_level	FullAddress	StreetNumber	AddressLine	PostalCode	AddressCityName	Phone	Latitude	Longitude	LastLoadDate
60744731	Castello Brancaccio	NULL	NULL	NULL	NULL	NULL	NULL	61041	San Gregorio da Sassola	283	Latium	NULL	IT	Italy	FCO	C	NULL	1	Piazza Castello Brancaccio	00010	San Gregorio Da Sassola	NULL	41.917114500	12.871197030	2026-01-29 15:15:00
60744811	Centro Ecoturistico Kayab	NULL	NULL	NULL	NULL	NULL	NULL	81016	Ocosingo	1567	Chiapas	NULL	MX	Mexico	MEX	C	NULL	NULL	Carretera Ocosingo-Tonina	29950	Ocosingo	+529191212835	16.875200000	-91.886000000	2026-01-29 15:15:00
60744844	Domo de Aste	NULL	NULL	NULL	NULL	NULL	NULL	80275	Toirano	614	Liguria	NULL	IT	Italy	GOA	C	NULL	8	Via Giovanni Battista Parodi	17055	Toirano	+393474374201	44.126118240	8.208765070	2026-08-24 17:20:00
60745062	Affittacamere Vittoria	NULL	NULL	NULL	NULL	NULL	NULL	54158	San Giuliano Milanese	434	Lombardy	NULL	IT	Italy	MXP	C	NULL	15	Via Della Vittoria	20098	San Giuliano Milanese	NULL	45.394698390	9.244566860	2026-01-29 15:15:00
60745095	Hmsat Palace 2	NULL	NULL	NULL	NULL	NULL	NULL	20298	Jeddah	1124	Mecca	NULL	SA	Saudi Arabia	JED	C	NULL	NULL	Rawdah Street	NULL	Jeddah	NULL	21.556000000	39.168900000	2026-01-29 15:15:00
60745255	Ferienhof Huber	NULL	NULL	NULL	NULL	NULL	NULL	4868	Waging on Sea	615	Bavaria	NULL	DE	Germany	MUC	C	NULL	18	Kurhausstraße	83329	Waging am See	+4986811872	47.935100000	12.736700000	2026-01-29 15:15:00
60745324	Osrodek Wczasowy Pasternik	NULL	NULL	NULL	NULL	NULL	NULL	56431	Male Ciche	1628	Lesser Poland Voivodeship	NULL	PL	Poland	KRK	C	NULL	24A	NULL	34-531	Male Ciche	+48182084198	49.303782750	20.069843200	2026-01-29 10:31:00
60745437	Crystal Inn Downtown	NULL	NULL	NULL	NULL	NULL	NULL	1114	Houston	395	Texas	TX	US	USA	HOU	C	NULL	5006	North Freeway	77022	Houston	+12816512333	29.839392150	-95.388166360	2026-07-20 14:47:00
60745451	Grand Soll Marina Hotel	NULL	NULL	NULL	NULL	NULL	NULL	27350	Tangerang	1402	West Java (Jawa Barat)	NULL	ID	Indonesia	CGK	C	NULL	Km 5.3	Jalan Gatot Subroto	15137	Tangerang	NULL	-6.194062620	106.586764530	2026-01-29 15:15:00
60745484	Landhaus Zum Griena	NULL	NULL	NULL	NULL	NULL	NULL	3064	Mayrhofen	1236	North Tyrol	NULL	AT	Austria	INN	C	NULL	636	Waldfeldweg	6290	Mayrhofen	+43528563137	47.162950950	11.858137858	2026-01-29 15:15:00
